PMID,Title,Abstract,Reviewer1_Decision,Reviewer1_Notes,Reviewer2_Decision,Reviewer2_Notes,Final_Decision,Exclusion_Reason
"26031254","Anterior chest wall disassociation: a pattern associated with serious underlying  injury.","","","","","","",""
"26033132","Technique for repair of fractures and separations involving the cartilaginous  portions of the anterior chest wall.","Internal fixation of the ribs has been shown in numerous studies to decrease  complications following traumatic rib fractures. Anterior injuries to the chest  wall causing cartilaginous fractures, although rare, can cause significant  disability and can lead to a variety of complications and, therefore, pose a  unique clinical problem. Here, we report the surgical technique used for four  patients with internal fixation of injuries to the cartilaginous portions of the  chest wall treated at our ","","","","","",""
"26072282","Regarding: Long-term patient outcomes after surgical stabilization of rib  fractures.","","","","","","",""
"26096325","Use of a titanium alloy (Chest Way) in the surgical stabilization of flail chest.","To avoid the complications of internal pneumatic stabilization for flail chest,  we performed stabilization of the chest wall with a metal bar using the Nuss  procedure. Here, we used a highly elastic lightweight biocompatible titanium  alloy Chest Way (Solve Corporation, Kanagawa, Japan), enabling magnetic resonance  imaging. The patient was a 37-year-old man who sustained injuries in a car crash.  Gradually increasing subcutaneous emphysema was present. Bilateral pleural  drainage and tracheal","","","","","",""
"26118783","[Rib cage ostheosynthesis. Literature review and case reports].","BACKGROUND: Fractures of the chest wall include sternum and rib fractures.  Traditionally they are managed conservatively due to the anatomy of the rib cage  that allows most of them to remain stable and to form a callus that unites the  fractured segments. In spite of this management, some patients present with  chronic pain or instability of the wall which makes them require some type of  fixation. The present article performs a literature review based on 4 cases.  CLINICAL CASES: The first ca","","","","","",""
"26222250","Surgical versus nonsurgical interventions for flail chest.","BACKGROUND: Thoracic trauma (TT) is common among people with multiple traumatic  injuries. One of the injuries caused by TT is the loss of thoracic stability  resulting from multiple fractures of the rib cage, otherwise known as flail chest  (FC). A person with FC can be treated conservatively with orotracheal intubation  and mechanical ventilation (internal pneumatic stabilization) but may also  undergo surgery to fix the costal fractures. OBJECTIVES: To evaluate the  effectiveness and safety o","","","","","",""
"26246061","[The elderly patient with multiple rib fractures].","Rib fractures resulting from blunt thoracic trauma occur frequently in the  elderly. Even though these are usually due to a low impact trauma mechanism (e.g.  a fall from standing height), rib fractures are associated with significant  morbidity and mortality in the elderly patient. This unfavourable clinical course  is most often caused by respiratory insufficiency due to lung oedema or  pneumonia. This cases series presents three elderly patients who sustained  multiple rib fractures and were ","","","","","",""
"26273137","The Immediate Intramedullary Nailing Surgery Increased the Mitochondrial DNA  Release That Aggravated Systemic Inflammatory Response and Lung Injury Induced by  Elderly Hip Fracture.","Conventional concept suggests that immediate surgery is the optimal choice for  elderly hip fracture patients; however, few studies focus on the adverse effect  of immediate surgery. This study aims to examine the adverse effect of immediate  surgery, as well as to explore the meaning of mtDNA release after trauma. In the  experiment, elderly rats, respectively, received hip fracture operations or hip  fracture plus intramedullary nail surgery. After fracture operations, the serum  mtDNA levels ","","","","","",""
"26307889","Surgical stabilization of severe rib fractures: Several caveats.","","","","","","",""
"26324411","Effectiveness of surgical rib fixation on prolonged mechanical ventilation in  patients with traumatic rib fractures: A propensity score-matched analysis.","PURPOSE: We investigated whether surgical rib fixation improved outcomes in  patients with traumatic rib fractures. MATERIALS AND METHODS: This was a  retrospective study using a Japanese administrative claim and discharge database.  We included patients with traumatic rib fractures admitted to hospitals where  surgical rib fixation was available from July 1 2010, to March 31, 2013. We  detected patients who underwent surgical rib fixation within 10 days of hospital  admission (surgical group) a","","","","","",""
"2633931","Rib fracture healing after osteosynthesis with wire mesh titanium and screws: a  histological study in sheep.","Twenty sheep were placed under general anesthesia and five ribs (6-10) were  transected at their lateral angle using a pair of rib shears. The fractures were  stabilized by titanium wire mesh plates. After 4, 6, 8, 10 and 12 weeks groups of  4 animals were sacrificed and rib samples were prepared for histological  examinations. The study showed that the osteosynthesis stabilized the fractures  and that the healing is similar to untreated rib fractures. This osteosynthesis  method is a good contr","","","","","",""
"26370635","Surgical stabilisation in a 13-year-old boy with traumatic flail chest.
LID - 10.1136/bcr-2015-209371 [doi]
LID - bcr2015209371","Flail chest after blunt trauma to the chest has a high morbidity and mortality  rate. Traumatic flail chest in children rarely occurs due to flexibility of the  ribcage. We describe the case of a 13-year-old boy sustaining a flail chest after  a high-energy trauma. Conservative treatment with proper mechanical ventilation  and pain management was unsuccessful, and was followed by operative rib fixation.  The patient was discharged home 17 days after surgery and, at 4 months follow-up,  had fully","","","","","",""
"26374224","Outcomes of Complete Versus Partial Surgical Stabilization of Flail Chest.","BACKGROUND: Rib fractures are common after chest wall trauma. For patients with  flail chest, surgical stabilization is a promising technique for reducing  morbidity. Anatomical difficulties often lead to an inability to completely  repair the flail chest; thus, the result is partial flail chest stabilization  (PFS). We hypothesized that patients with PFS have outcomes similar to those  undergoing complete flail chest stabilization (CFS). METHODS: A prospectively  collected database of all patie","","","","","",""
"26402525","In-hospital outcomes and costs of surgical stabilization versus nonoperative  management of severe rib fractures.","BACKGROUND: One factor that has precluded the wide adoption of surgical  stabilization of rib fractures (SSRF) is the perception that it is too expensive  to surgically repair an injury that will eventually heal without intervention.  The purpose of this study was to compare in-hospital outcomes, costs, and charges  for SSRF patients with a series of propensity-matched, nonoperatively managed rib  fracture (NON-OP) patients at a single Level 1 trauma center. METHODS: All  patients admitted with ","","","","","",""
"26454653","Surgical stabilization of severe rib fractures decreases incidence of retained  hemothorax and empyema.","BACKGROUND: Retained hemothorax (RH) is relatively common after chest trauma and  can lead to empyema. We hypothesized that patients who have surgical fixation of  rib fractures (SSRF) have less RH and empyema than those who have medical  management of rib fractures (MMRF). METHODS: Admitted rib fracture patients from  January 2009 to June 2013 were identified. A 2:1 propensity score model  identified MMRF patients who were similar to SSRF. RH, and empyema and  readmissions, were recorded. Varia","","","","","",""
"2648015","Occult diaphragmatic injury from stab wounds to the lower chest and abdomen.","Ninety-five patients with stab wounds to the lower chest and abdomen underwent  routine abdominal exploration. Eighteen of these patients had diaphragmatic  injury and in five patients it was the only injury found. Isolated diaphragmatic  injury in asymptomatic patients cannot be reliably delineated by either serial  physical examination or peritoneal lavage. Delayed recognition of incarcerated  diaphragmatic hernia after stab wounds to the lower left chest and upper abdomen  has an associated m","","","","","",""
"26506935","Blunt thoracic aortic injury with small pseudoaneurysm may be managed by  nonoperative treatment.","OBJECTIVE: The efficacy of nonoperative management of blunt thoracic aortic  injury (BTAI) was evaluated in patients with pseudoaneurysm. METHODS: A  retrospective review was done for patients with BTAI at Fukui Prefectural  Hospital during a 9-year period. Charts were reviewed for age, gender, Injury  Severity Score, Abbreviated Injury Scale for each body area, initial type of  aortic injury, site of aortic injury, type of definitive management,  complications, and outcomes. RESULTS: Eighteen p","","","","","",""
"26516736","[Surgical Stabilisation of Flail Chest Injury: Indications, Technique and  Results].","PURPOSE OF THE STUDY: Multiple rib fractures with segmental chest wall  instability are caused by high-energy chest trauma and are associated with  significant morbidity and mortality. Flail chest injuries are mostly combined  with lung injury (contusion, rupture, laceration) and subsequent pneumothorax or  haemothorax. Early mechanical ventilation with internal pneumatic splinting is a  conservative treatment for flail chest in patients with respiratory  insufficiency. The surgical stabilisatio","","","","","",""
"26521992","Pitfalls associated with open reduction and internal fixation of fractured ribs.","Rib fracture is exceedingly common and remains a leading cause of death in  patients with chest injury. Probability of death increases by 19% with each  broken rib, and the probability of death increases further with age. Treatment is  centered on pain control and early mobilization to provide adequate pulmonary  hygiene. Multimodality interventions, such as incentive spirometry, postural  changes, and coughing, are pivotal in minimizing the risk of pneumonia and death.  Recently, many studies h","","","","","",""
"26530190","Management of patients with flail chest by surgical fixation using claw-type  titanium plate.","BACKGROUND: The goal of the study was to compare surgical rib fixation using  claw-type titanium plate with conservative treatment in the management of  patients with flail chest. METHODS: The study retrospectively studied 23 patients  suffering from flail chest injury, who admitted to our hospital from October,  2010 to February, 2014. The patients received surgical fixation by using  claw-type titanium plate (surgical fixation group). A age and sex-matched cohort  of 29 patients received conse","","","","","",""
"26539928","Blunt thoracic trauma: recent advances and outstanding questions.","PURPOSE OF REVIEW: The treatment of blunt thoracic injuries is complex and  evolving. The aim of this review is to focus on what is new with ventilation for  blunt chest trauma as well as an update on the current management strategies for  blunt aortic injury and rib fractures. RECENT FINDINGS: Early use of noninvasive  ventilation appears to be well tolerated in select hemodynamically stable blunt  trauma patients. For those patients requiring intubation, airway pressure release  ventilation is","","","","","",""
"26556021","[Surgical treatment of acromioclavicular dislocation: Tension band wiring versus  hook plate].","INTRODUCTION: The aim of the prospective randomized study was to compare tension  wire cerclage and hook plate in the treatment of AC dislocation, primarily from  the viewpoint of functional and radiological results. METHOD: The cohort  comprised 80 patients with acute acromioclavicular (AC) dislocation of types 3, 4  and 5 of Rockwood classification. The diagnosis was based on the clinical  (disfiguration and instability) and radiographic examination (AP and stress  radiograph). Forty patients ","","","","","",""
"26595710","A prospective, controlled clinical evaluation of surgical stabilization of severe  rib fractures.","BACKGROUND: Previous studies of surgical stabilization of rib fractures (SSRF)  have been limited by small sample sizes, retrospective methodology, and inclusion  of only patients with flail chest. We performed a prospective, controlled  evaluation of SSRF as compared with optimal medical management for severe rib  fracture patterns among critically ill trauma patients. We hypothesized that SSRF  improves acute outcomes. METHODS: We conducted a 2-year clinical evaluation of  patients with any of","","","","","",""
"26693118","A Case of Traumatic Flail Chest Requiring Stabilization with Surgical  Reconstruction.","Background Flail chest is the most serious complication that may occur after  thoracic trauma. In this article, we present a case of flail chest caused by  blunt chest trauma, which presented dramatic clinical improvement following rib  fixation and chest wall reconstruction. Case Description A 53-year-old male  patient with flail chest because of the trauma who had been followed in intensive  care unit for mechanical ventilatory support underwent chest wall stabilization  with titanium reconstr","","","","","",""
"26693119","Stabilization of Flail Chest and Fractured Sternum by Minimally Invasive Repair  of Pectus Excavatum.","We report a 55-year-old male patient with a massive flail chest that required  chest stabilization by minimally invasive repair of pectus excavatum (MIRPE)  employing a Nuss bar. Surgical stabilization of severe flail chest and fractured  sternum with Nuss bar by MIRPE is a safe and useful treatment modality in  properly selected patients.
FAU - Akkus, Murat","","","","","",""
"26733094","Fixation of a human rib by an intramedullary telescoping splint anchored by bone  cement.","A novel concept for rib fixation is presented that involves the use of a  bioresorbable polymer intramedullary telescoping splint. Bone cement is used to  anchor each end of the splint inside the medullary canal on each side of the  fracture site. In this manner, rib fixation is achieved without fixation device  protrusion from the rib, making the splint completely intramedullary. Finite  element analysis is used to demonstrate that such a splint/cement composite can  preserve rib fixation subje","","","","","",""
"26763839","The Usefulness of Early Surgical Rib Stabilization in Flail Chest.","BACKGROUND: Flail chest is a clinical condition observed in patients with blunt  thorax trauma. Surgical stabilization methods performed on selected patients  shorten the durations of mechanical ventilation and intensive care monitoring and  significantly reduce the rates of ventilator-associated morbidity and mortality.  MATERIAL AND METHOD: Patients treated and diagnosed with flail chest between 2009  and 2014 were studied retrospectively. RESULTS: There were two groups: 10  patients in the gr","","","","","",""
"26802843","Load Sharing, not Load Bearing Plates: Lessons Learned from Failure of Rib  Fracture Stabilization.","","","","","","",""
"26816247","Surgical stabilization of flail chest: the impact on postoperative pulmonary  function.","OBJECTIVES: Flail chest results in significant morbidity. Controversies continue  regarding the optimal management of flail chest. No clear guidelines exist for  surgical stabilization. Our aim was to examine the association of bedside  spirometry values with operative stabilization of flail chest. METHODS: IRB  approval was obtained to identify patients with flail chest who underwent  surgical stabilization between August 2009 and May 2011. At our institution, all  rib fracture patients underwe","","","","","",""
"26848471","Rib Fracture Fixation Restores Inspiratory Volume and Peak Flow in a Full Thorax  Human Cadaveric Breathing Model.","BACKGROUND: Multiple rib fractures cause significant pain and potential for chest  wall instability. Despite an emerging trend of surgical management of flail chest  injuries, there are no studies examining the effect of rib fracture fixation on  respiratory function. OBJECTIVES: Using a novel full thorax human cadaveric  breathing model, we sought to explore the effect of flail chest injury and  subsequent rib fracture fixation on respiratory outcomes. PATIENTS AND METHODS:  We used five fresh ","","","","","",""
"26850079","The role of a video-assisted thoracic approach for rib fixation.","PURPOSE: Rib fixation remains a contentious issue in the current practice of  orthopaedic, trauma and thoracic surgeons. Whilst rib fractures are undoubtedly  associated with high levels of morbidity and mortality, the optimal surgical  approach has not yet been fully elucidated in prospective trials and the volume  of procedures performed remains low. METHODS: We evaluated 21 consecutive  patients who underwent surgical rib fixation either via a standard thoracotomy  approach or following the i","","","","","",""
"26889439","The Role of Minimally Invasive Plate Osteosynthesis in Rib Fixation: A Review.","More than a century ago, the first scientific report was published about fracture  fixation with plates. During the 1950's, open reduction and plate fixation for  fractures were standardized by the founders of Arbeitsgemeinschaft fur  osteosynthesefragen/Association for the Study of Internal Fixation. Since the  introduction of plate fixation for fractures, several plates and screws have been  developed, all with their own characteristics. To accomplice more fracture  stability, it was thought t","","","","","",""
"26891160","Infected hardware after surgical stabilization of rib fractures: Outcomes and  management experience.","BACKGROUND: Surgical stabilization of rib fracture (SSRF) is increasingly used  for treatment of rib fractures. There are few data on the incidence, risk  factors, outcomes, and optimal management strategy for hardware infection in  these patients. We aimed to develop and propose a management algorithm to help  others treat this potentially morbid complication. METHODS: We retrospectively  searched a prospectively collected rib fracture database for the records of all  patients who underwent SSR","","","","","",""
"26899958","Open reduction and internal fixation of rib fractures in polytrauma patients with  flail chest.","BACKGROUND: Open reduction and internal fixation (ORIF) of fractured ribs for  flail chest is safe and effective but who is most likely to benefit is unknown.  Our purpose is to compare ORIF with nonoperative management (NOM) in polytrauma  patients. METHODS: Albany Medical Center Hospital Trauma Registry was queried for  adult patients with flail chest admitted over 7 years. RESULTS: Eighty-six  patients with radiographic flail chest were identified who met inclusion  criteria. The 41 ORIF and ","","","","","",""
"27067863","First case of a left atrial dissection after transcatheter aortic valve  replacement.","The left atrial dissection is a very infrequently encountered complication after  valve replacement and never seen after Transcatheter aortic valve replacement  (TAVR). We present an 84-year-old female, who underwent successful transapical  TAVR and consequently developed contained left atrial dissection seen on  transesophageal echocardiogram. The patient remained stable throughout the  procedure and was monitored in critical care unit with conservative management.  Although there is low associ","","","","","",""
"27073261","In patients with acute flail chest does surgical rib fixation improve outcomes in  terms of morbidity and mortality?","A best evidence topic in cardiothoracic surgery was written according to a  structured protocol. The question addressed was: In patients with acute flail  chest does surgical rib fixation improve outcomes in terms of morbidity and  mortality? Using the reported search criteria, 137 papers were found. Of these,  11 papers (N = 1712) represent the best evidence to answer the clinical question,  and include one meta-analysis, two randomized, controlled trials (RCTs), five  retrospective cohort stud","","","","","",""
"27084543","Stabilization of flail chest injuries: minimized approach techniques to treat the  core of instability.","PURPOSE: Stabilizing techniques of flail chest injuries usually need wide  approaches to the chest wall. Three main regions need to be considered when  stabilizing the rib cage: median-anterior with dissection of pectoral muscle;  lateral-axillary with dissection of musculi (mm) serratus, externus abdominis;  posterior inter spinoscapular with division of mm rhomboidei, trapezius and  latissimus dorsi. Severe morbidity due to these invasive approaches needs to be  considered. This study discusse","","","","","",""
"27099054","Displacement Patterns of Blunt Rib Fractures and Their Relationship to Thoracic  Coinjuries: Minimal Displacements Count.","Displacement patterns of rib fractures (RF) and their association with thoracic  coinjuries and outcomes are unknown. This is a retrospective review of adult  patients with blunt closed RF who underwent chest CT at a Level I trauma center  (2007-2012). Displacement patterns of RF were compared among the  three-dimensional planes using CT images. An analysis of receiver operating  characteristic (ROC) curves was performed to identify displacements in each plane  most strongly associated with ches","","","","","",""
"2715037","[Surgical treatment of the unstable thorax in respiratory insufficiency].","Sixteen patients with traumatic flail chest underwent surgical stabilization  using procedures introduced by Rehbein, Judet and Vecsei. Compared with sixteen  patients treated by internal stabilization with intermittent positive pressure  respiration, there are some advantages: time of artificial respiration is  shortened, early mobilization is possible, nursing is easier, the costs are  lower. The procedure is indicated in those patients, in whom long-term artificial  respiration is not necessa","","","","","",""
"27158007","Spontaneous healing of large cortical defects in long bones: Case reports and  review of literature.","","","","","","",""
"27192468","Delayed presentation of pulmonary hernia following surgical stabilization of  severe rib fractures.","","","","","","",""
"27206779","New technique for fixing rib fracture with bioabsorbable plate.","Fixation of a bone fracture with a bioabsorbable plate made of poly-L-lactide and  hydroxyapatite has received attention. We adopted this technique for a rib  fracture by bending the plate into a U-shape and fixing it with suture through  the holes in the mesh of the plate and holes that are drilled in the edge of the  fractured rib. The suture is also wound around the plate.","","","","","",""
"27215708","Operative versus Nonoperative Management of Multiple Rib Fractures.","","","","","","",""
"27224037","A Technique to Allow Prone Positioning in the Spine Surgery Patient With Unstable  Spine Fracture and Flail Segment Rib Fractures.","Two patients with unstable thoracic spine and flail segment rib fractures  initially failed prone positioning on a Jackson spinal table used for posterior  spinal instrumentation and fusion surgery. Both patients experienced rapid  hemodynamic collapse. We developed a solution using the anterior portions of a  thoracolumbosacral orthosis brace as chest supports to use during prone  positioning, allowing both patients to undergo uncomplicated posterior spinal  instrumentation and fusion surgeries","","","","","",""
"27272917","Evaluation of efficacy and indications of surgical fixation for multiple rib  fractures: a propensity-score matched analysis.","PURPOSE: The purpose of this study was to assess the effects of recent surgical  rib fixation and establish its indications not only for flail chest but also for  multiple rib fractures. METHODS: Between 2007 and 2015, 187 patients were  diagnosed as having multiple rib fractures in our institution. After the  propensity score matching was performed, ten patients who had performed surgical  rib fixation and ten patients who had treated with non-operative management were  included. Categorical va","","","","","",""
"27293864","Nuss procedure for surgical stabilization of flail chest with horizontal sternal  body fracture and multiple bilateral rib fractures.","Flail chest is a life-threatening situation that paradoxical movement of the  thoracic cage was caused by multiply fractured ribs in two different planes, or a  sternal fracture, or a combination of the two. The methods to achieve stability  of the chest wall are controversy between surgical fixation and mechanical  ventilation. We report a case of a 33-year-old man who fell from a high place  with fail chest due to multiple rib fractures bilaterally and horizontal sternal  fracture. The convent","","","","","",""
"27307787","Surgical treatment of multiple rib fractures and flail chest in trauma: a  one-year follow-up study.","BACKGROUND: Multiple rib fractures and unstable thoracic cage injuries are common  in blunt trauma. Surgical management of rib fractures has received increasing  attention in recent years and the aim of this 1-year, prospective study was to  assess the long-term effects of surgery. METHODS: Fifty-four trauma patients with  median Injury Severity Score 20 (9-66) and median New Injury Severity Score 34  (16-66) who presented with multiple rib fractures and flail chest, and underwent  surgical stab","","","","","",""
"27355282","Clinical Outcomes of Surgical Stabilization of Flail Chest Injury.","INTRODUCTION: Recent reported success in surgical stabilization of flail chest  has been described in small series, but scant evidence exists for this procedure  in the orthopaedic literature. METHODS: We reviewed 88 consecutive patients who  underwent surgical stabilization of flail chest, along with 88 consecutive  patients with flail chest who underwent traditional closed management before  initiation of our algorithm change to surgical management. RESULTS: Surgical  stabilization of flail ch","","","","","",""
"27359278","Factors Associated With Narcotic Use After Clavicle Fractures.","Clavicle fractures are common in adults. Recent studies have shown that operative  treatment of clavicle fractures has benefits in many situations. However, there  is controversy about the indications. Data on social outcomes are limited. A  total of 434 patients with 436 clavicle fractures treated both operatively and  nonoperatively at a level 1 trauma center were identified. Narcotic use was  recorded 2, 4, 6, 8, 10, 12, 14, and 16 weeks after injury for both treatment  groups. Other descript","","","","","",""
"27366436","The Decrease of the Duration of Stay in the ICU with Rib Fixation in a Case of  Multiple Rib Fracture.","Severe breathing problems arise in multiple rib fractures. As a result, many  advantages of the surgical stabilization of the chest wall have been reported.  Especially, shortening mechanical ventilation, along with a decrease in the  duration of intensive care unit stay, is important for the prevention of possible  infection complications. In this study, the dramatic improvement of the breathing  pattern, as well as the reduction in ventilator duration after rib fixation time,  of a 36-year-old","","","","","",""
"27387790","Natural history of medial clavicle fractures.","BACKGROUND: Fractures of the medial third of the clavicle comprise less than 3%  of all clavicle fractures. The natural history and optimal management of these  rare injuries are unknown. The aim of our study is to describe the demographics,  management and outcomes of patients with medial clavicle fractures treated at a  Level 1 Trauma Centre. METHODS: A retrospective review was conducted of patients  presenting to our institution between January 2008 and March 2013 with a medial  third clavicl","","","","","",""
"27431822","eReply: In patients with acute flail chest does surgical rib fixation improve  outcomes in terms of morbidity and mortality?","","","","","","",""
"27438051","No benefit to surgical fixation of flail chest injuries compared with modern  comprehensive management: results of a retrospective cohort study.","BACKGROUND: Chest wall trauma is a common cause of morbidity and mortality.  Recent technological advances and scientific publications have created a renewed  interest in surgical fixation of flail chest. However, definitive data supporting  surgical fixation are lacking, and its virtues have not been evaluated against  modern, comprehensive management protocols. METHODS: Consecutive patients  undergoing rib fracture fixation with rib-specific locking plates at 2 regional  trauma centres between","","","","","",""
"27461999","Nonoperative management of grade III blunt thoracic aortic injuries.","OBJECTIVE: Blunt thoracic aortic injuries (BTAIs) have historically been treated  with open surgery; thoracic endovascular aortic repair (TEVAR), however, is  rapidly becoming the standard of care for all grades of injury. Previous studies  have shown successful, conservative management of low-grade (I and II) BTAI, but  limited literature exists regarding nonoperative management (NOM) for high-grade  BTAI. The purpose of this study was to evaluate NOM for grade III BTAI compared  with TEVAR. ME","","","","","",""
"27482027","Management of rib fractures in traumatic flail chest: a meta-analysis of  randomised controlled trials.","AIMS: Flail chest from a blunt injury to the thorax is associated with  significant morbidity and mortality. Its management globally is predominantly  non-operative; however, there are an increasing number of centres which undertake  surgical stabilisation. The aim of this meta-analysis was to compare the efficacy  of this approach with that of non-operative management. PATIENTS AND METHODS: A  systematic search of the literature was carried out to identify randomised  controlled trials (RCTs) w","","","","","",""
"27495253","An assessment of outcomes with intramedullary fixation of fractured ribs.","BACKGROUND: Surgical management of fractured ribs with internal fixation is an  increasingly accepted therapy. Concurrently, specific rib fixation prostheses are  being developed which should improve results and minimise hardware and rib/splint  construct failures. The Synthes titanium intramedullary splint lends itself to  difficult to access areas such as posterior rib fractures and fractures under the  scapula. We analyse a case series of patients in whom this rib fixation  prosthesis has bee","","","","","",""
"27572614","When and how should we manage thoracic aortic injuries in the modern era?","A best evidence topic in cardiovascular surgery was written according to a  structured protocol. The question addressed was what are the optimum treatment  modality and timing of intervention for blunt thoracic aortic injury (BTAI) in  the modern era? Of the 697 papers found using the reported search, 14 (5  meta-analyses, 2 prospective and 7 retrospective studies) represented the best  evidence to answer the clinical question. The author, journal, country, date of  publication, patient group st","","","","","",""
"27572897","Operative management versus non-operative management of rib fractures in flail  chest injuries: a systematic review.","PURPOSE: Flail chest is a life-threatening complication of severe chest trauma  with a mortality rate of up to 15 %. The standard non-operative management has  high comorbidities with pneumonia and often leads to extended Intensive Care Unit  (ICU) stay, due to insufficient respiratory function and complications. The aim  of this literature study was to investigate how operative management improves  patient care for adults with flail chest. METHODS: Randomized-controlled trials  comparing operat","","","","","",""
"27602896","A novel method of using bioabsorbable materials for the surgical repair of flail  chest.","","","","","","",""
"27607891","[Functional Outcome after Chest Wall Stabilisation].","This overview reviews the current literature to compare the functional results  after surgical and conservative treatment of patients with flail chest and  multiple rib fractures. Regarding functional aspects, patients in the early phase  after a thoracic trauma are those that benefit most from the stabilisation of the  chest wall by internal fixation of the ribs. Patients recover faster from  restrictive respiratory disorders, have less pain and return to the workplace  earlier after an operati","","","","","",""
"27666641","Reply to ""Open reduction and internal fixation of rib fractures in polytrauma  patients with flail chest"" by DeFreest et al.","","","","","","",""
"27733996","Analysis of Sternal Fixation Results According to Plate Type in Sternal Fracture.","BACKGROUND: Sternal fractures are relatively rare, and caused mainly by blunt  anterior chest wall trauma. In most cases, sternal fractures are treated  conservatively. However, if the patient exhibits problematic symptoms such as  intractable chest wall pain or bony crepitus due to sternal instability, surgical  correction is indicated. But no consensus exists regarding the most appropriate  surgical method. We analyzed the results of surgical fixation in cases of sternal  fracture in order to ","","","","","",""
"27793168","Physical function and pain after surgical or conservative management of multiple  rib fractures - a follow-up study.","BACKGROUND: There is scarce knowledge of physical function and pain due to  multiple rib fractures following trauma. The purpose of this follow-up was to  assess respiratory and physical function, pain, range of movement and  kinesiophobia in patients with multiple rib fractures who had undergone  stabilizing surgery and compare with conservatively managed patients. METHODS: A  consecutive series of 31 patients with multiple rib fractures who had undergone  stabilizing surgery were assessed >1 y","","","","","",""
"27811559","Rib fractures in trauma patients: does operative fixation improve outcome?","PURPOSE OF REVIEW: Renewed interest in surgical fixation of rib fractures has  emerged. However, conservative treatment is still preferred at most surgical  departments. We wanted to evaluate whether operative treatment of rib fractures  may benefit severely injured patients. RECENT FINDINGS: Several studies report a  reduction in mechanical ventilation time, ICU length of stay (LOS), hospital LOS,  pneumonia, need for tracheostomy, pain and costs in operatively treated patients  with multiple r","","","","","",""
"27912931","Consensus statement: Surgical stabilization of rib fractures rib fracture  colloquium clinical practice guidelines.","","","","","","",""
"27916036","[Effect of ultrasound guided patient-controlled paravertebral block on pulmonary  function in patients with multiple fractured ribs].","Objective: To investigated the effects of patient controlled intravenous  analgesia and ultrasound guided patient-controlled paravertebral block on  pulmonary function in patients with multiple fractured ribs. Methods: From May  2015 to March 2016, 60 patients with multiple rib fractures in Ningbo NO.6  Hospital with American Society of Anesthesiologists Ⅱ-Ⅲ underwent internal  fixation, including 30 males and 30 females aged from 16 to 70 years(mean age  (54.6+/-15.2) years). All patients were ","","","","","",""
"27939010","Addition of Video-Assisted Thoracoscopic Surgery to the Treatment of Flail Chest.","BACKGROUND: Video-assisted thoracoscopic surgery (VATS) is increasingly used in  chest trauma for diagnostic and therapeutic purposes. In this report we describe  our single-institutional experience with VATS in the surgical treatment of  patients with flail chest after high-energy trauma. METHODS: From January 2013 to  July 2014, 15 patients with flail chest after high-energy trauma were treated in  our hospital. The Injury Severity Score (ISS) ranged from 16 to 44. Rib fixation  was performed ","","","","","",""
"27984449","Operative Treatment of Rib Fractures in Flail Chest Injuries: A Meta-analysis and  Cost-Effectiveness Analysis.","OBJECTIVES: Flail chest is a common injury sustained by patients who experience  high-energy blunt chest trauma and results in severe respiratory compromise  because of altered mechanics of respiration. There has been increased interest in  operative fixation of these injuries with the intention of restoring the  mechanical integrity of the chest wall, and several studies have shown that  ventilation requirements and pulmonary complications may be decreased with  operative intervention. The purp","","","","","",""
"28007867","Chest wall stabilization in ventilator-dependent traumatic flail chest patients:  who benefits?","OBJECTIVES: Traumatic flail chest is a potentially life threatening injury, often  associated with prolonged invasive mechanical ventilation and intensive care unit  stay. This study evaluates the usefulness and cost-effectiveness of surgical rib  stabilization in patients with flail chest resulting in ventilator dependent  respiratory insufficiency. METHODS: A retrospective study on a consecutive series  of patients with flail chest with the need for mechanical ventilation was  performed. Effec","","","","","",""
"28030502","Operative fixation of rib fractures after blunt trauma: A practice management  guideline from the Eastern Association for the Surgery of Trauma.","BACKGROUND: Rib fractures are identified in 10% of all injury victims and are  associated with significant morbidity (33%) and mortality (12%). Significant  progress has been made in the management of rib fractures over the past few  decades, including operative reduction and internal fixation (rib ORIF); however,  the subset of patients that would benefit most from this procedure remains  ill-defined. The aim of this project was to develop evidence-based  recommendations. METHODS: Population, i","","","","","",""
"28030506","Rib fracture fixation in the 65 years and older population: A paradigm shift in  management strategy at a Level I trauma center.","BACKGROUND: Rib fractures after chest wall trauma are a common injury; however,  they carry a significant morbidity and mortality risk. The impact of rib  fractures in the 65-year and older patient population has been well documented as  have the mortality and pneumonia rates. We hypothesize that patients 65 years and  older receiving rib plating (RP) have decreased mortality, complication rates,  and an accelerated return to normal functional states when compared with  controls. METHODS: With i","","","","","",""
"2805926","[Anatomoclinical forms of fractures of the sternum. Role and methods of  osteosynthesis of unstable fractures].","In general, fractures of the sternum are of little interest. This is unfair since  unstable fractures may be the cause of paradoxical respiration and hence  respiratory distress. Fractures often result from automobile accidents and occur  in passengers wearing seat belts. In these circumstances, the seat belt in fact  replaces the steering wheel as the causative agent. With reference to several  cases this variety of injury is studied from the anatomo-pathological, clinical  and therapeutic view","","","","","",""
